Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Sandwich Bread 800gm,$4.25,$4.25,1,0," "," ",-,$0.00,$0.00,0.01%,$4.25,$0.00,$4.25
Total (Breads),,$983.06,$983.06,392,0,-," ",$0.00,$0.00,$0.00,2.15%,$2.51,$100.29,$882.77

Tea & Soda
,Limca Can,$182.39,$182.09,61,0," "," ",-,-$0.30,$0.00,0.40%,$2.99,$0.00,$182.09
,Coffee,$153.43,$153.43,67,0," "," ",-,$0.00,$0.00,0.33%,$2.29,$0.00,$153.43
,Coke Can,$125.87,$123.38,63,1," "," ",-,$0.00,-$2.49,0.27%,$1.99,$0.00,$123.38
,Frooti,$119.60,$119.60,40,0," "," ",-,$0.00,$0.00,0.26%,$2.99,$0.00,$119.60
,Kashmira Masala Jeera Can,$116.61,$116.31,39,0," "," ",-,-$0.30,$0.00,0.25%,$2.98,$22.62,$93.69
,Thums Up Can,$83.72,$83.72,28,0," "," ",-,$0.00,$0.00,0.18%,$2.99,$0.00,$83.72
,Sprite Can,$67.66,$67.66,34,0," "," ",-,$0.00,$0.00,0.15%,$1.99,$0.00,$67.66
,Diet Coke Can,$21.89,$21.89,11,0," "," ",-,$0.00,$0.00,0.05%,$1.99,$0.00,$21.89
,Coke Zero,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$0.00,$7.96
Total (Tea & Soda),,$879.13,$876.04,347,1,-," ",$0.00,-$0.60,-$2.49,1.91%,$2.53,$22.62,$853.42

Shakes
,Chocolate Chip Brownie Shake,$173.79,$173.79,21,0," "," ",-,$0.00,$0.00,0.38%,$8.28,$0.00,$173.79
,," "," "," "," ",Medium,18,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,3,$6.00," "," "," "," "," "," "
,Pine Butterscotch Shake,$165.80,$165.80,20,0," "," ",-,$0.00,$0.00,0.36%,$8.29,$0.00,$165.80
,," "," "," "," ",Medium,17,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,3,$6.00," "," "," "," "," "," "
,Ferrero Rocher Shake,$105.90,$104.90,10,0," "," ",-,-$1.00,$0.00,0.23%,$10.49,$0.00,$104.90
,," "," "," "," ",Medium,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,3,$6.00," "," "," "," "," "," "
,Oreo Shake,$100.89,$100.89,11,0," "," ",-,$0.00,$0.00,0.22%,$9.17,$0.00,$100.89
,," "," "," "," ",Medium,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Strawberry Shake,$97.88,$97.88,12,0," "," ",-,$0.00,$0.00,0.21%,$8.16,$0.00,$97.88
,," "," "," "," ",Medium,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Walnut Brownie Shake,$53.94,$53.94,6,0," "," ",-,$0.00,$0.00,0.12%,$8.99,$0.00,$53.94
,," "," "," "," ",Medium,6,$0.00," "," "," "," "," "," "
,Rich Alphonso,$47.94,$47.94,6,0," "," ",-,$0.00,$0.00,0.10%,$7.99,$0.00,$47.94
,," "," "," "," ",Medium,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,3,$6.00," "," "," "," "," "," "
,Red Velvet Shake,$46.95,$46.95,5,0," "," ",-,$0.00,$0.00,0.10%,$9.39,$0.00,$46.95
,," "," "," "," ",Medium,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Choco Latte Shake,$15.98,$15.98,2,0," "," ",-,$0.00,$0.00,0.03%,$7.99,$0.00,$15.98
,," "," "," "," ",Medium,2,$0.00," "," "," "," "," "," "
Total (Shakes),,$809.07,$808.07,93,0,-,93,$30.00,-$1.00,$0.00,1.76%,$8.69,$0.00,$808.07

Mousse
,Choco Taco,$131.78,$131.78,22,0," "," ",-,$0.00,$0.00,0.29%,$5.99,$87.78,$44.00
,Oreo Dessert Cup,$112.50,$112.50,18,0," "," ",-,$0.00,$0.00,0.25%,$6.25,$0.00,$112.50
,Ferrero Dessert Cup,$112.50,$107.50,18,0," "," ",-,-$5.00,$0.00,0.23%,$5.97,$0.00,$107.50
,Cassata Mouse,$100.00,$100.00,16,0," "," ",-,$0.00,$0.00,0.22%,$6.25,$0.00,$100.00
,Rasmalai Mousse,$87.50,$87.50,14,0," "," ",-,$0.00,$0.00,0.19%,$6.25,$0.00,$87.50
,Chocolate Mousse,$81.25,$81.25,13,0," "," ",-,$0.00,$0.00,0.18%,$6.25,$42.77,$38.48
,Pineapple Mousse,$31.25,$31.25,5,0," "," ",-,$0.00,$0.00,0.07%,$6.25,$0.00,$31.25
